"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A9A0","2019-08-14 00:00:00","24.000","0.000","0.100","29.400","0.780","1000.300","-99.000","0.000","-99.000","-99.000","-99.000","35.400","","27.400",""
"C0O830","2019-08-14 00:00:00","127.000","147.000","0.900","24.800","1.000","990.800","-99.000","46.000","-99.000","-99.000","-99.000","30.000","","24.000",""
"C0S760","2019-08-14 00:00:00","1621.000","0.000","0.000","18.500","1.000","835.200","-99.000","0.000","-99.000","-99.000","-99.000","26.000","","17.700",""
"C0X160","2019-08-14 00:00:00","26.000","113.000","1.000","26.700","0.940","1001.600","-99.000","314.000","-99.000","-99.000","-99.000","29.700","","23.900",""
"C0C490","2019-08-14 00:00:00","157.000","305.000","0.300","27.200","0.790","985.400","-99.000","0.000","-99.000","-99.000","-99.000","36.200","","26.400",""
"C0F970","2019-08-14 00:00:00","145.000","152.000","0.800","27.800","0.800","987.000","-99.000","34.000","-99.000","-99.000","-99.000","30.300","","24.400",""
"C0M690","2019-08-14 00:00:00","33.000","126.000","0.300","26.100","0.920","999.500","-99.000","107.500","-99.000","-99.000","-99.000","29.100","","23.500",""
"C0V690","2019-08-14 00:00:00","30.000","47.000","2.700","28.000","0.840","1001.400","-99.000","35.500","-99.000","-99.000","-99.000","29.300","","25.300",""
"C0Z210","2019-08-14 00:00:00","126.000","0.000","0.200","26.100","0.990","990.700","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","25.200",""
"C0U770","2019-08-14 00:00:00","5.000","342.000","3.000","26.600","0.850","1002.700","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","25.200",""
"C0Z080","2019-08-14 00:00:00","298.000","191.000","0.500","24.900","0.910","970.800","-99.000","0.000","-99.000","-99.000","-99.000","36.100","","23.800",""
"C0X200","2019-08-14 00:00:00","61.000","31.000","1.100","25.100","0.990","997.800","-99.000","98.500","-99.000","-99.000","-99.000","29.800","","24.100",""
"C0U900","2019-08-14 00:00:00","63.000","266.000","0.800","26.700","0.990","997.200","-99.000","18.500","-99.000","-99.000","-99.000","31.900","","25.300",""
"C0Z230","2019-08-14 00:00:00","31.000","282.000","2.400","28.300","0.770","1000.700","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","26.500",""
"C0F9O0","2019-08-14 00:00:00","175.000","0.000","0.100","27.800","1.000","984.200","-99.000","24.500","-99.000","-99.000","-99.000","30.900","","24.800",""
"C0C540","2019-08-14 00:00:00","46.000","209.000","1.100","27.000","0.850","997.800","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","25.600",""
"C0G770","2019-08-14 00:00:00","15.000","175.000","1.300","27.900","0.940","1000.600","-99.000","89.500","-99.000","-99.000","-99.000","29.100","","24.000",""
"C0V670","2019-08-14 00:00:00","20.000","106.000","2.000","28.200","0.830","1001.900","-99.000","79.000","-99.000","-99.000","-99.000","29.300","","25.400",""
"C0A870","2019-08-14 00:00:00","685.000","287.000","6.800","23.200","0.980","926.400","-99.000","0.000","-99.000","-99.000","-99.000","29.000","","23.000",""
"C0R220","2019-08-14 00:00:00","23.000","103.000","1.400","27.100","1.000","1002.000","-99.000","103.500","-99.000","-99.000","-99.000","30.800","","24.400",""
"C0Z220","2019-08-14 00:00:00","589.000","286.000","0.300","24.400","0.990","940.300","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","22.300",""
"C0D560","2019-08-14 00:00:00","147.000","119.000","1.200","26.200","0.840","987.000","-99.000","0.000","-99.000","-99.000","-99.000","34.700","","25.600",""
"C0I380","2019-08-14 00:00:00","258.000","0.000","0.000","25.300","0.990","974.600","-99.000","12.500","-99.000","-99.000","-99.000","32.800","","23.700",""
"C0Z020","2019-08-14 00:00:00","211.000","224.000","0.700","26.400","0.990","979.800","-99.000","0.500","-99.000","-99.000","-99.000","32.600","","24.800",""
"C0Z190","2019-08-14 00:00:00","62.000","309.000","0.800","28.100","0.930","996.200","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","27.500",""
"C0C710","2019-08-14 00:00:00","143.000","71.000","0.500","24.200","0.930","987.100","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","24.200",""
"C0D360","2019-08-14 00:00:00","523.000","0.000","0.000","21.600","0.950","944.900","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","21.600",""
"C0R540","2019-08-14 00:00:00","17.000","104.000","2.400","27.400","0.900","1002.200","-99.000","143.000","-99.000","-99.000","-99.000","31.300","","25.200",""
"C0K480","2019-08-14 00:00:00","56.000","175.000","1.600","27.500","0.830","997.300","-99.000","177.000","-99.000","-99.000","-99.000","28.700","","23.600",""
"C0H890","2019-08-14 00:00:00","440.000","278.000","0.400","24.500","0.940","955.300","-99.000","5.500","-99.000","-99.000","-99.000","31.900","","22.700",""
"C0S770","2019-08-14 00:00:00","375.000","0.000","0.200","24.700","0.970","962.700","-99.000","1.500","-99.000","-99.000","-99.000","28.700","","23.600",""
